id,nct_id,priority,track,status,last_checked,condition,intervention,linked_pubmed,evidence_role,protocol_impact,next_check
CTG-001,NCT06116760,High,AV+tDCS,Completed,2026-09-25,Chronic homonymous visual field defects after acquired brain injury,Anodal or sham tDCS plus audiovisual training,PMID39607286,Best exact-match tDCS plus audiovisual clinical trial lead,Clinician-supervised adjunct candidate only; do not add home tDCS before behavioral baseline and plateau,Check for posted registry results or replication
CTG-002,NCT04963075,High,AV multisensory,Completed with results posted,2026-09-25,Stable homonymous hemianopia,Multisensory rehabilitation paradigm,PMID36604169,Closest Wake Forest adult chronic AV training registry line,Supports current AV core; sample/results still small and high-variance,Monitor for full results publication and protocol/SAP updates
CTG-003,NCT05894434,High,AV multisensory,Not yet recruiting,2026-09-25,Homonymous hemianopia after stroke,Multisensory training versus unisensory training,,Wake Forest next-stage AV study,Watch only; no immediate protocol change,Check recruitment status and protocol details
CTG-004,NCT07358832,High,AV+tDCS,Recruiting,2026-09-25,Subacute homonymous hemianopsia after stroke,tDCS plus audiovisual training,,"Best active AV+tDCS trial lead, but subacute not chronic",Watch as future evidence; not directly applicable to Eric's chronic window,Monthly status/results check
CTG-005,NCT02935413,High,VRT+tDCS,Completed,2026-09-25,Subacute homonymous visual field defects after PCA stroke,tDCS plus vision restoration training versus standard rehab,PMID28082176,Subacute VRT+tDCS feasibility and safety pilot,Park as early-window adjunct evidence; not a chronic home protocol,Check whether later randomized follow-up has published
CTG-006,NCT03350919,Medium,Blind-field visual restoration,Completed with results posted,2026-09-25,Hemianopia caused by brain damage,Blind-field training versus intact-field training,,Modern blind-field training comparator with posted PMD results,Supports measurement-first visual training; not audiovisual and long dose,Track related Rochester/Huxlin publications
CTG-007,NCT04230486,Medium,VR cross-modal AV,Completed with results posted,2026-09-25,Homonymous hemianopia,VR cross-modal visual-auditory rehabilitation,,VR audiovisual/cross-modal comparator with posted outcomes,Supports Quest/cross-modal direction; needs careful effect-size review,Extract outcome table before citing quantitatively
CTG-008,NCT05085210,Medium,NIBS+visual training,Recruiting,2026-09-25,Visual field defects after cortical damage,tRNS plus computer or VR visual training,,Active neuromodulation plus VR/visual-training lead,Watch only; tRNS is not tDCS and is not part of NegletFix,Monthly status/results check
CTG-009,NCT04798924,Medium,Visual restoration timing,Active not recruiting,2026-09-25,Occipital stroke visual field loss,Subacute and chronic blind-field/intact-field training,,Timing/plasticity study relevant to chronic-vs-subacute expectations,Watch for results to refine dose/timing expectations,Quarterly status/results check
CTG-010,NCT07317739,High,AV multisensory/post-stroke,Not yet recruiting,2026-09-25,Hemianopia; Visual Field Defect Following Cerebrovascular Accident,Early multisensory audio-visual stimulation training; Early visual field test,,New exact post-stroke visual-field rehabilitation registry lead with early multisensory audiovisual stimulation,Watch only; reinforces AV research lane but has no results and does not change current Quest protocol,Monthly recruitment/status check
CTG-011,NCT07185971,High,VR-HMD compensation/chronic visual field loss,Recruiting,2026-09-25,Homonymous hemianopsia; homonymous quadrantanopia after stroke/TBI/brain surgery,PAVE treatment using a virtual-reality head-mounted display,,Recruiting HMD-based visual-field enhancement lead for chronic field loss,Compensation/device comparator only; do not treat as restorative AV evidence,Monthly status and publication/device-data check
CTG-012,NCT06136169,Medium,Scanning compensation/results,Completed with results posted,2026-09-25,Homonymous hemianopia; homonymous quadrantanopia,Reminder-cue scanning training,PMID42140549,Compensatory scanning-training comparator with posted registry outcomes and linked Archives PM&R publication,"Functional compensation evidence only; useful for head-scan/hazard-detection metrics, not restorative AV dose or driving clearance",Review follow-up publication and registry results; completed 2026-09-18
CTG-013,NCT07134777,Medium,Occipital-stroke mechanism,Recruiting,2026-09-25,Cortical blindness; ischemic stroke; partial vision loss; homonymous hemianopia; occipital lobe infarct,MRI mechanism study,,Mechanism/imaging watch lead for occipital-stroke visual restoration,Mechanism watch only; no intervention result yet,Check protocol and future publications
CTG-014,NCT06047717,Medium,VR navigation/function,Recruiting,2026-09-25,Stroke-related homonymous hemianopia/quadrantanopia and partial vision loss,Virtual Reality Driving Task,,Functional navigation and steering measurement lead in VR,"Useful for future function tracker, not treatment efficacy",Track outcome measures and related VR steering papers
CTG-015,NCT07147660,Medium,Driving/scanning compensation,Recruiting,2026-09-25,Stroke; visual field loss; hemianopia,Compensatory scanning training; delayed compensatory scanning training,PMID42571232,Driving-focused visual rehabilitation/scanning-training trial; August PubMed RCT protocol paper added,Driving/function lane only; no driving clearance or restorative protocol implication,"Track trial recruitment/results, protocol paper details, and VR functional-vision outcome design"
CTG-016,NCT04827147,Medium,Prism compensation/results,Completed with results posted,2026-09-25,Homonymous hemianopia,Multi-periscopic prism glasses; Fresnel peripheral prism glasses,PMID42274646,Prism/accommodation comparator with posted registry outcomes and randomized crossover publication,Accommodation evidence only; do not mix prism field expansion with restorative AV training claims,Review device preference and adverse events; completed 2026-08-19
CTG-017,NCT05525949,Medium,Digital visual perceptual learning,Completed,2026-09-25,Visual fields hemianopsia; homonymous hemianopsia,VIVID Brain; no-treatment control,,Completed digital visual perceptual learning comparator for post-stroke visual-field defect,Comparator only; wait for results/publication before use,Check for results posting or linked paper
CTG-018,NCT07659691,High,AV multisensory/cortical damage,Not yet recruiting,2026-09-25,Cortical blindness; hemianopia from visual cortex damage,Multisensory Rehabilitation,,New Wake Forest multisensory rehabilitation registry lead first posted 2026-06-22,High-priority AV watch only; no results and no current protocol change,"Check recruitment start, protocol, adult/chronic stroke match, and publications"
CTG-019,NCT07635329,High,Home-based imaging-guided visual training,Recruiting,2026-09-25,Visual field defect; stroke; homonymous hemianopia; quadrantanopia; cortical blindness; TBI,High-level and low-level perceptual learning-based training,,BRIGHT home-based visual rehabilitation guided by brain imaging,Home-training/restoration comparator only; recruitment status does not change Quest AV protocol,"Track protocol, dose, imaging guidance, outcomes, and papers"
CTG-020,NCT06875206,High,Focused ultrasound + immersive VR,Not yet recruiting,2026-09-25,Stroke visual field defect; hemianopia; quadrantanopia; occipital lobe infarct,Low-intensity focused ultrasound; immersive virtual reality; inactive ultrasound,,Neuromodulation plus VR visual-restoration trial lead,Clinician/research watch only; no stimulation/hardware change for NegletFix,"Track start, safety parameters, imaging endpoints, and results"
CTG-021,NCT07237412,Medium,Neurofeedback visual restoration,Recruiting,2026-09-25,Homonymous bilateral visual field defect,Neurofeedback,,Neurofeedback-based VRT registry comparator,Future EEG/neurofeedback research lane only; no Muse TP10 protocol impact,"Identify signal source, training target, and outcomes"
CTG-022,NCT06241209,Medium,Low-tech visual stimulation,Recruiting,2026-09-25,Hemianopsia after stroke or brain injury; peripheral visual field defect; visual impairment,PowerPoint program visual stimulation,,Low-tech visual stimulation comparator for hemianopsia rehabilitation,Comparator only; no evidence until results,"Track dose, outcome measures, and result posting"
CTG-023,NCT06341777,High,AV telerehabilitation/comparator,Completed,2026-09-25,Visual field defect following cerebrovascular accident; hemianopia; brain injuries,Audio-visual training telerehabilitation,PMID39994637,Completed home AVT telerehabilitation comparator with published feasibility results,"Supports home AV delivery and function improvements, but interpreted as compensatory oculomotor evidence",Compare full text dose/outcomes to NegletFix Quest AV plan
CTG-024,NCT07105358,Medium,tRNS + perceptual learning,Recruiting,2026-09-25,Visual field defect; stroke; hemianopia; quadrantanopia; cortical blindness; TBI; brain tumor,tRNS; sham stimulation; perceptual learning-based training,,NIBS plus visual-training comparator,Watch only; do not add tRNS or stimulation to NegletFix,"Track protocol, sham design, parameters, and outcomes"
CTG-025,NCT06578117,Medium,Statistical learning visual training,Enrolling by invitation,2026-09-25,Ischemic/hemorrhagic stroke; homonymous hemianopia; occipital lobe infarct; quadrantanopia,Vision Training and Learning Task,,Visual learning/restoration comparator aiming to reduce training burden,Watch only until results,"Track paradigm, dose burden, and publications"
CTG-026,NCT06638619,Medium,Saccadic/biofeedback compensation,Not yet recruiting,2026-09-25,Homonymous hemianopia,Biofeedback Fixation Training; Saccadic Reading Training,,Late-June update comparing eye-tracking biofeedback and saccadic reading training,Compensation/reading comparator only,Track recruitment and outcome design
CTG-027,NCT05141604,Medium,VR mobility/field expansion,Active not recruiting,2026-09-25,Hemianopsia; homonymous hemianopia; low vision field defects,Field expansion view,,VR/HMD obstacle-detection and field-expansion mobility comparator updated 2026-07-02,Mobility/accommodation measurement lead only,Track outcome measures and publication links
CTG-028,NCT07752563,High,Computer-based eye-movement compensation,Not yet recruiting,2026-09-25,Stroke-related homonymous visual field loss,NeuroEyeCoach/VISIOcoach eye-movement training plus usual care versus usual care,,New August 7 pilot RCT of computer-based scanning/eye-movement training after stroke,Function/scanning comparator only; no visual restoration or AV protocol implication,"Track recruitment start, protocol details, adherence, vision-related functioning, and wellbeing outcomes"
CTG-029,NCT04930822,Medium,Digital visual scanning/results,Completed with results posted,2026-09-25,"Acute or subacute neurological visual field impairment after stroke, TBI, or acquired brain injury",Bioness Integrated Therapy System visual intervention versus tabletop visual intervention,,New-to-monitor posted-results digital scanning comparator using Bells Test and kinetic field metrics,Inpatient acute/subacute field-awareness comparator only; not chronic restoration evidence,Extract posted results and protocol/SAP before using quantitatively
CTG-030,NCT04043689,Medium,Paris tACS/chronic hemianopia,Completed,2026-09-25,Chronic post-stroke homonymous hemianopia,tACS frontal/right FEF and occipito-parietal stimulation with sham,,"Completed AP-HP/Pitie-Salpetriere chronic hemianopia tACS trial; no posted registry results. Raffin 2025 is a separate paper, not a verified trial publication",Clinician/research watch only; do not adopt stimulation; useful local Paris expert/context lead,Watch for HEMIANOTACS results or AP-HP follow-up; ask team about eligibility for other studies
CTG-031,NCT06636994,Medium,Paris imaging/blindsight,Active not recruiting,2026-09-25,Homonymous hemianopia after vascular retrochiasmatic lesion including occipital stroke,Observational MRI and computer visual tasks,,Fondation Rothschild Paris study mapping blindsight capability to functional MRI connectivity,Mechanism/local-clinician watch only; no treatment protocol impact,Track publications and any IRON/Rothschild clinical pathway links
CTG-032,NCT07558395,Medium,France/Europe VR audiovisual telerehab,Not yet recruiting,2026-09-25,"Hemianopsia after pediatric brain tumor in children, adolescents, and young adults",Unity HMD 3D-MOT audiovisual stimulation with head/eye tracking versus standard care,,INSERM multicenter VR audiovisual telerehab trial with Strasbourg site; pediatric tumor etiology not Eric stroke lane,AV/VR design inspiration only; not adult stroke or current Quest protocol evidence,"Track recruitment, Esterman perimetry outcomes, safety/VR sickness, and publications"
CTG-033,NCT06121219,High,Home blind-field visual retraining,Recruiting,2026-09-25,"Occipital-stroke cortical blindness, hemianopia, or quadrantanopia",Home blind-field visual training with motion/orientation discrimination and 3:1 staircase,,Rochester/Huxlin recruiting home visual retraining after stroke; strong dose and staircase comparator,Home visual-training comparator only; not audiovisual and requires months-long dose,"Track results, transfer outcomes, contrast sensitivity, and perimetry outcomes"
CTG-034,NCT05397873,Medium,Microperimetry biofeedback compensation,Recruiting,2026-09-25,"Homonymous hemianopsia after brain injury, stroke, tumor, or trauma",MAIA microperimetry biofeedback training,,"Toronto microperimetry biofeedback trial for fixation stability, retinal sensitivity, reading, and quality of life",Compensation/oculomotor comparator only; no restoration claim until results,"Track primary completion, result posting, and protocol/SAP"
